episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
354,16,6,"""Their Own Paths""Transcription: ""Sorezore no Michi"" (Japanese: それぞれの道)",Naoki Hishikawa,Yasuyuki Suzuki,06/03/2014,22/08/2021,6.9,230,"Yukimi leaves the village to see the outside world, taking ""Tenzo"" with her. Kakashi tries to convince the two to return so that he can set a trap to capture Orochimaru, who is after Yukimi's blood. But Yamato, who has grown attached to Yukimi, abandons his original mission to protect his friend.",Filler,,354,"
                            7.5
                        "
355,16,7,"""The Targeted Sharingan""Transcription: ""Nerawareta Sharingan"" (Japanese: 狙われた写輪眼)",Naoki Horiuchi,Katsuhiko Chiba,13/03/2014,29/08/2021,7.2,241,"Danzo orders Tenzo to kill Kakashi and take his Sharingan. Reluctant at first, Tenzo decides to carry out his orders after learning that the Leaf Shinobi has come to be known as ""Kakashi the Friend Killer.""",Filler,,355,"
                            7.9
                        "
356,16,8,"""A Shinobi of the Leaf""Transcription: ""Konoha no Shinobi"" (Japanese: 木ノ葉の忍)",Kazunori Mizuno,Katsuhiko Chiba,20/03/2014,05/09/2021,7.3,244,"After being saved by the target he was ordered to kill, Tenzo realizes that the man known as ""Kakashi the Friend Killer"" is someone who values the lives of his comrades more than anyone. No longer wishing to kill Kakashi, Tenzo abandons the mission and returns to the Leaf Village, fully aware that his actions will stir up Danzo's anger.",Filler,,356,"
                            7.9
                        "
357,16,9,"""An Uchiha ANBU""Transcription: ""Anbu no Uchiha"" (Japanese: 暗部のうちは)",Takuma Suzuki,Katsuhiko Chiba,03/04/2014,12/09/2021,7.7,266,"Itachi Uchiha is inducted into Kakashi's unit as the youngest member of the ANBU Black Ops. Itachi's father, Fugaku, is pleased, thinking this will grant the Uchiha access to exclusive, top-secret Leaf intel. But Danzo, who wants intel on the Uchiha, orders Itachi to betray his family and clan by acting as a double agent.",Filler,,357,"
                            8
                        "
358,16,10,"""Coup d'État""Transcription: ""Kūdetā"" (Japanese: クーデター)",Atsushi Nigorikawa,Katsuhiko Chiba,10/04/2014,19/09/2021,8.2,342,"Following the aftermath of the Nine-Tails incident, many on the Leaf Council voice suspicions that the Uchiha Clan were behind this tragedy. The Uchiha are then placed under 24-hour surveillance by the ANBU, which causes further tensions to arise.",Filler,,358,"
                            7.8
                        "
359,16,11,"""The Night of the Tragedy""Transcription: ""Sangeki no Yoru"" (Japanese: 惨劇の夜)",Fukutarou Hattori,Katsuhiko Chiba,17/04/2014,26/09/2021,8,289,Kakashi visits the Uchiha District and notices that the community seems more antisocial than the last time he visited. Meanwhile Itachi finds concrete evidence regarding the Uchiha Clan's coup against the Leaf. The fateful moment is fast approaching...,Filler,,359,"
                            7.7
                        "
360,16,12,"""Jōnin Leader""Transcription: ""Tantō Jōnin"" (Japanese: 担当上忍)",Daisuke Kurose,Masahiro Hikokubo,24/04/2014,03/10/2021,7.6,255,"Hiruzen relieves Kakashi of his ANBU duties and assigns him a new position as a Jonin Leader. Reflecting on his past mistakes, Kakashi decides to use the same test that Minato once used to measure one's teamwork.",Filler,,360,"
                            8
                        "
361,16,13,"""Team 7""Transcription: ""Dainanahan"" (Japanese: 第七班)",Masayuki Yamada,Masahiro Hikokubo,08/05/2014,07/11/2021,8,293,"Hiruzen assigns Kakashi to be in charge of Naruto, Sasuke, and Sakura, three genin that bear a striking resemblance to the former Team Minato.",Filler,,361,"
                            7.9
                        "
362,17,1,"""Kakashi's Resolve""Transcription: ""Kakashi no Ketsui"" (Japanese: カカシの決意)",Takuma Suzuki,Junki Takegami,15/05/2014,14/11/2021,8.6,545,"Kakashi desperately tries to reach out to Obito, but his words fall on deaf ears. Obito instead accuses Kakashi of being trash, which angers Naruto, forcing him to step in and defend his Sensei.",Mixed Canon/Filler,,362,"
                            8.2
                        "
363,17,2,"""The Allied Shinobi Forces Jutsu""Transcription: ""Shinobi Rengōgun no Jutsu!"" (Japanese: 忍連合軍の術!)",Gorou Sessha,Hideto Tanaka,22/05/2014,21/11/2021,9,695,"The barrier is shattered, and Ten Tails appears! With unfathomable power in its attack, it sends shock waves through the air! Kurama takes the lead and tries to go on the offensive, but is helpless against Ten Tails' immense strength. Soon both Kurama and Gyuki exhaust their chakra and fade away.",Manga Canon,,363,"
                            7.8
                        "
364,17,3,"""The Ties That Bind""Transcription: ""Tsunagareru Mono"" (Japanese: 繋がれるもの)",Masaaki Kumagai,Shin Yoshida,05/06/2014,28/11/2021,9.4,1212,"The Allied Shinobi Forces begin their onslaught against Obito and Madara. But Ten Tails suddenly transforms and hurls powerful Tailed Beast Bombs toward distant towns. One after the other, the Tailed Beast Bombs find their targets. The shinobi wonder why Ten Tails is aiming so far away as one of the bombs heads toward HQ!.",Manga Canon,,364,"
                            7.5
                        "
365,17,4,"""Those Who Dance in the Shadows""Transcription: ""Shinobimau Mono-tachi"" (Japanese: 忍び舞う者たち)",Naoki Horiuchi,Katsuhiko Chiba,12/06/2014,12/12/2021,9.1,786,"Naruto is overcome with grief over Neji's death, but Hinata's words restore his fighting spirit. Shikaku outlines his final strategy before he dies, in which Nine Tails will send its chakra to increase everyone's strength. United in their cause, Naruto and the shinobi set out to take on Ten Tails, determined that Neji and their comrades will not have died in vain!",Manga Canon,,365,"
                            7.8
                        "
366,17,5,"""The All-Knowing""Transcription: ""Subete o Shiru Mono-tachi"" (Japanese: 全てを知る者たち)",Kazunori Mizuno,Masahiro Hikokubo,19/06/2014,09/01/2022,9.2,959,"Sasuke returns to the Hidden Leaf Village seeking answers, and standing before him are First Hokage Hashirama, Second Hokage Tobirama, Third Hokage Hiruzen, and Fourth Hokage Minato, all reanimated. Sasuke asks Hiruzen for the truth about Itachi, and he questions Tobirama about the secret of the Uchiha Clan. Then Hashirama begins his story, which goes back to the feudal age, to a period before the village even existed.",Manga Canon,,366,"
                            7.8
                        "
367,17,6,"""Hashirama and Madara""Transcription: ""Hashirama to Madara"" (Japanese: 柱間とマダラ)",Kazuya Iwata,Shin Yoshida,03/07/2014,09/01/2022,8.6,548,"Villages did not exist when Hashirama was a child. It was during this strife-filled time that he met Madara Uchiha. The two youths talk about their hopes for the future, without revealing their true identities, and find they share the same vision...to create a ninja world where children do not have to die.",Manga Canon,,367,"
                            8.2
                        "
368,17,7,"""The Era of Warring States""Transcription: ""Sengoku Jidai"" (Japanese: 戦国時代)",Atsushi Nigorikawa,Shin Yoshida,10/07/2014,09/01/2022,8.9,630,"Madara and Hashirama eventually become the leaders of their respective clans. As the fighting rages on between the Senju and Uchiha, Hashirama approaches Madara about an alliance. But Madara refuses to listen and releases Susano'o instead!",Manga Canon,,368,"
                            8
                        "
369,17,8,"""My True Dream""Transcription: ""Hontō no Yume"" (Japanese: 本当の夢)",Yoshihiko Iwata,Masahiro Hikokubo,24/07/2014,16/01/2022,8.7,581,"The Senju and Uchiha clans join together to build a shinobi village and fulfill their dreams. Standing on the cliff where they confided their youthful aspirations to each other, Hashirama and Madara gaze over the forest at their burgeoning village. Hashirama decides that Madara should be the Hokage, but his younger brother Tobirama objects, warning that the Uchiha are dangerous.",Manga Canon,,369,"
                            8.1
                        "
370,17,9,"""Sasuke's Answer""Transcription: ""Sasuke no Kotae"" (Japanese: サスケの答え)",Yoshihiro Yanagiya,Masahiro Hikokubo,31/07/2014,16/01/2022,8.8,624,"After listening to what Hashirama and the rest of the former Hokage have to say, Sasuke finally understands how the Leaf Village and its shinobi came to be. He then decides on the path he will ultimately take!",Manga Canon,,370,"
                            8.1
                        "
371,17,10,"""Hole""Transcription: ""Kazaana"" (Japanese: 風穴)",Masayuki Yamada,Katsuhiko Chiba,07/08/2014,23/01/2022,8.5,469,"The fighting rages between Naruto, who stands at the vanguard of the Allied Shinobi Forces, and the team of Madara and Obito. Ten Tails' relentless attack is wearing down Naruto, and his chakra begins to dissipate. Meanwhile, Kakashi and Obito face each other in a different Kamui dimension.",Manga Canon,,371,"
                            8.2
                        "
372,17,11,"""Something to Fill the Hole""Transcription: ""Umeru Mono"" (Japanese: 埋めるもの)",Masaaki Kumagai,Katsuhiko ChibaYuka Miyata,14/08/2014,23/01/2022,9.3,1027,"Ten Tails is on the brink of its final transformation and begins to form a massive Tailed Beast Bomb. The shinobi no longer have the strength or energy left to stop it, but Sakura, Shikamaru and the others refuse to give up. Shikamaru formulates a plan to combine the strength of the shinobi to block the Tailed Beast Bomb, but it proves too powerful. Right at that moment, Minato, who was revived with the Reanimation Jutsu, comes to the rescue!",Manga Canon,,372,"
                            9
                        "
373,18,1,"""Team 7, Assemble!""Transcription: ""Dainanahan, Shūketsu!!"" (Japanese: 第七班、集結!!)",Takuma Suzuki,Yuka Miyata,21/08/2014,30/01/2022,8.6,548,"Team 7 is finally reunited when Naruto, Sakura and Sasuke join forces. Then the reanimated former Hokage arrive to add their strength to a counteroffensive. Ten Tails divides into countless parts, and Naruto and Sasuke charge at them. Refusing to be left behind, Sakura follows!",Manga Canon,,373,"
                            8.9
                        "
374,18,2,"""The New Three-Way Deadlock""Transcription: ""Aratanaru Sansukumi"" (Japanese: 新たなる三竦み)",Naoki Horiuchi,Yasuyuki Suzuki,28/08/2014,30/01/2022,8.6,483,"Bearing a close resemblance to the Legendary Sannin, Naruto, Sakura and Sasuke make a stunning arrival on the battlefield with each of their summonings.",Manga Canon,,374,"
                            8.5
                        "
375,18,3,"""Kakashi vs. Obito""Transcription: ""Kakashi tai Obito"" (Japanese: カカシVSオビト)",Hiroyuki Yamashita,Yasuyuki SuzukiShin Yoshida,04/09/2014,06/02/2022,9.6,2301,Kakashi and Obito face again in an epic fight to give birth to a new evil.,Manga Canon,,375,"
                            8.2
                        "
376,18,4,"""The Directive to Take the Nine-Tails!""Transcription: ""Kyūbi Gōdatsu Shirei"" (Japanese: 九尾強奪指令)",Kazuya Iwata,Yasuyuki Suzuki,11/09/2014,13/02/2022,4.3,293,The townspeople are going about their daily business on the streets of the Leaf Village when someone suddenly appears and starts sending them flying.,Filler,,376,"
                            9.1
                        "
377,18,5,"""Naruto vs. Mecha Naruto""Transcription: ""Naruto tai Meka Naruto"" (Japanese: ナルト対メカナルト)",Kazunori Mizuno,Yasuyuki Suzuki,11/09/2014,20/02/2022,3.8,393,The townspeople are going about their daily business on the streets of the Leaf Village when someone suddenly appears and starts sending them flying.,Filler,,377,"
                            9.6
                        "
378,18,6,"""The Ten Tails' Jinchuriki""Transcription: ""Jūbi no Jinchūriki"" (Japanese: 十尾の人柱力)",Takuma Suzuki,Shin Yoshida,18/09/2014,27/02/2022,8.6,490,"Obito completely absorbs the giant Ten Tails, undergoes a transformation and becomes the Ten Tails' Jinchuriki.",Manga Canon,,378,"
                            8.2
                        "
379,18,7,"""An Opening""Transcription: ""Toppakō"" (Japanese: 突破口)",Atsushi Nigorikawa,Katsuhiko Chiba,25/09/2014,06/03/2022,8.9,598,"Obito has gained complete control over his power as the Ten Tails Jinchuriki as his powerful, cold-blooded attacks force Naruto and his friends into a corner.",Manga Canon,,379,"
                            8.1
                        "
380,18,8,"""The Day Naruto Was Born""Transcription: ""Naruto ga Umareta Hi"" (Japanese: ナルトが生まれた日)",Masayuki Yamada,Yasuyuki Suzuki,02/10/2014,13/03/2022,8.7,542,As Minato confronts Obito he becomes full of regret.,Manga Canon,,380,"
                            9.2
                        "
381,18,9,"""The Divine Tree""Transcription: ""Shinju"" (Japanese: 神樹)",Yoshihiro Yanagiya,Yuka Miyata,09/10/2014,20/03/2022,8.8,582,Naruto and Minato combine their powers to perform a Sage Jutsu attack on Obito.,Manga Canon,,381,"
                            8.2
                        "
382,18,10,"""A Shinobi's Dream""Transcription: ""Shinobi no Yume"" (Japanese: 忍の夢)",Takuma Suzuki,Masahiro Hikokubo,16/10/2014,27/03/2022,8.7,475,"The Ten Tails morphs into its final form, ""The Divine Tree,"" and attacks the shinobi, absorbing their chakra one after another.",Manga Canon,,382,"
                            6.7
                        "
383,18,11,"""Pursuing Hope""Transcription: ""Saki o Ou"" (Japanese: 希望（さき）を追う)",Masaaki Kumagai,Katsuhiko Chiba,23/10/2014,03/04/2022,8.5,399,"Naruto's past, thoughts, and feelings flow into the consciousness of every shinobi, unifying their hearts.",Manga Canon,,383,"
                            6.7
                        "
